Latitude,Longitude,Garbage Percentage,Threshold,Timestamp
30.517,76.661,93.71434827085875,50,2025-03-17 22:48:33
30.517,76.661,87.35431185835697,50,2025-03-17 22:48:34
30.517,76.661,81.85304255248099,50,2025-03-17 22:48:34
30.517,76.661,94.21705015572897,50,2025-03-17 22:48:35
30.517,76.661,77.78494857636605,50,2025-03-17 22:48:35
30.517,76.661,92.41511588979371,50,2025-03-17 22:48:35
30.517,76.661,88.96475538282701,50,2025-03-17 22:48:36
30.517,76.661,74.06111293549714,50,2025-03-17 22:48:36
30.517,76.661,76.12145918048975,50,2025-03-17 22:48:37
30.517,76.661,88.14278243776822,50,2025-03-17 22:48:37
30.517,76.661,88.5611843727813,50,2025-03-17 22:48:37
30.517,76.661,151.5179411403784,50,2025-03-17 22:48:38
30.517,76.661,148.76451865717175,50,2025-03-17 22:48:38
30.517,76.661,158.06020525989808,50,2025-03-17 22:48:38
30.517,76.661,214.1762941980101,50,2025-03-17 22:48:39
30.517,76.661,151.3004446177867,50,2025-03-17 22:48:39
30.517,76.661,91.97903471137269,50,2025-03-17 22:48:40
30.517,76.661,90.8023273755766,50,2025-03-17 22:48:40
30.517,76.661,95.26755652104005,50,2025-03-17 22:48:40
30.517,76.661,96.92828613967002,50,2025-03-17 22:48:41
30.517,76.661,100.9125392275203,50,2025-03-17 22:48:41
30.517,76.661,101.3413175329974,50,2025-03-17 22:48:42
30.517,76.661,163.15325585592817,50,2025-03-17 22:48:42
30.517,76.661,162.07440767107414,50,2025-03-17 22:48:42
30.517,76.661,160.5925819345903,50,2025-03-17 22:48:43
30.517,76.661,147.90018611439953,50,2025-03-17 22:48:43
30.517,76.661,177.56942206268036,50,2025-03-17 22:48:44
30.517,76.661,182.91193633634336,50,2025-03-17 22:48:44
30.517,76.661,144.2916070232602,50,2025-03-17 22:48:44
30.517,76.661,88.39360529302792,50,2025-03-17 22:48:45
30.517,76.661,87.1616216745401,50,2025-03-17 22:48:45
30.517,76.661,93.1577846688569,50,2025-03-17 22:48:45
30.517,76.661,217.61194216068148,50,2025-03-17 22:48:46
30.517,76.661,163.6941787808452,50,2025-03-17 22:48:46
30.517,76.661,165.897730049472,50,2025-03-17 22:48:46
30.517,76.661,151.8644501043503,50,2025-03-17 22:48:47
30.517,76.661,146.154033466931,50,2025-03-17 22:48:47
30.517,76.661,124.86465466679057,50,2025-03-17 22:48:47
30.517,76.661,122.45875388424801,50,2025-03-17 22:48:48
30.517,76.661,169.94880766069323,50,2025-03-17 22:48:48
30.517,76.661,168.86955922918753,50,2025-03-17 22:48:49
30.517,76.661,136.83517678688835,50,2025-03-17 22:48:49
30.517,76.661,93.55698070283445,50,2025-03-17 22:48:49
30.517,76.661,117.28488049650822,50,2025-03-17 22:48:50
30.517,76.661,167.78889767720494,50,2025-03-17 22:48:50
30.517,76.661,176.6317001891981,50,2025-03-17 22:48:50
30.517,76.661,141.39057659670448,50,2025-03-17 22:48:50
30.517,76.661,136.86691568610775,50,2025-03-17 22:48:51
30.517,76.661,111.6859587163486,50,2025-03-17 22:48:51
30.517,76.661,109.97686400715642,50,2025-03-17 22:48:52
30.517,76.661,109.88580746911765,50,2025-03-17 22:48:52
30.517,76.661,106.03669181880471,50,2025-03-17 22:48:52
30.517,76.661,58.88944520645381,50,2025-03-17 22:48:53
30.517,76.661,60.75078919752283,50,2025-03-17 22:48:53
30.517,76.661,70.79878225304023,50,2025-03-17 22:48:53
30.517,76.661,75.21069741678446,50,2025-03-17 22:48:54
30.517,76.661,147.42155891848256,50,2025-03-17 22:48:54
30.517,76.661,154.18711006782888,50,2025-03-17 22:48:54
30.517,76.661,155.20033019446447,50,2025-03-17 22:48:55
30.517,76.661,151.18413618724932,50,2025-03-17 22:48:55
30.517,76.661,151.80917105442003,50,2025-03-17 22:48:56
30.517,76.661,115.1979914433014,50,2025-03-17 22:48:56
30.517,76.661,62.66729564275757,50,2025-03-17 22:48:56
30.517,76.661,62.70064597644179,50,2025-03-17 22:48:57
30.517,76.661,141.19635363793208,50,2025-03-17 22:48:57
30.517,76.661,61.64942461342867,50,2025-03-17 22:48:58
30.517,76.661,72.38365585528118,50,2025-03-17 22:48:58
30.517,76.661,91.59394023199302,50,2025-03-17 22:48:58
30.517,76.661,113.95457235056605,50,2025-03-17 22:48:59
30.517,76.661,97.39246178567673,50,2025-03-17 22:48:59
30.517,76.661,116.53846550928321,50,2025-03-17 22:49:00
30.517,76.661,112.88579955517115,50,2025-03-17 22:49:00
30.517,76.661,118.08445052154642,50,2025-03-17 22:49:01
30.517,76.661,105.63819851130832,50,2025-03-17 22:49:01
30.517,76.661,97.7288618536289,50,2025-03-17 22:49:01
30.517,76.661,81.91682095452748,50,2025-03-17 22:49:02
30.517,76.661,92.74401507154232,50,2025-03-17 22:49:02
30.517,76.661,84.40205409223093,50,2025-03-17 22:49:03
30.517,76.661,86.91374870859171,50,2025-03-17 22:49:03
30.517,76.661,103.84726916984657,50,2025-03-17 22:49:03
30.517,76.661,97.27266560715269,50,2025-03-17 22:49:04
30.517,76.661,92.56252652472074,50,2025-03-17 22:49:04
30.517,76.661,81.36005265940732,50,2025-03-17 22:49:05
30.517,76.661,78.06539043348329,50,2025-03-17 22:49:05
30.517,76.661,73.61644154075093,50,2025-03-17 22:49:05
30.517,76.661,79.27532683404232,50,2025-03-17 22:49:06
30.517,76.661,77.34354419516137,50,2025-03-17 22:49:06
30.517,76.661,78.01440295828633,50,2025-03-17 22:49:07
30.517,76.661,80.97288147103384,50,2025-03-17 22:49:07
30.517,76.661,83.32009627253416,50,2025-03-17 22:49:07
30.517,76.661,96.09595101892619,50,2025-03-17 22:49:08
30.517,76.661,100.75242463141805,50,2025-03-17 22:49:08
30.517,76.661,98.25206674305949,50,2025-03-17 22:49:09
30.517,76.661,79.51338013365287,50,2025-03-17 22:49:09
30.517,76.661,80.58714327504897,50,2025-03-17 22:49:09
30.517,76.661,94.11297624809146,50,2025-03-17 22:49:10
30.517,76.661,74.83146136196967,50,2025-03-17 22:49:10
30.517,76.661,70.37998281446671,50,2025-03-17 22:49:10
30.517,76.661,71.427269909368,50,2025-03-17 22:49:11
